nickname,userId,privateAccount,signature,uniqueId,verified,videoId,createTime,likesCount,shareCount,commentCount,playCount,collectCount,description,url,timestamp,duration
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7065036801592806661,1644957067,87400,437,138,3200000,716,O chão é lava em um lugar bem diferentão 😎 @bielvaladares @vishtigs @_luizamonteiroo,https://www.tiktok.com/@enaldinho/video/7065036801592806661,2022-02-15 20:31:07,38
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7064701990923668742,1644879113,33400,56,67,812300,195,Competição em um pop it gigante! 😮 @bielvaladares,https://www.tiktok.com/@enaldinho/video/7064701990923668742,2022-02-14 22:51:53,58
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7064327994646531333,1644792035,16400,68,110,163300,181,Quando você discute com seu irmão mais novo sempre é assim 😂😂 @_luizamonteiroo,https://www.tiktok.com/@enaldinho/video/7064327994646531333,2022-02-13 22:40:35,56
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7063863472387362054,1644683880,19500,54,109,225800,167,Querem parte 2? 👀😂 @vishtigs @nicolasgommes @𝑳𝑨𝑹𝑰𝑺𝑺𝑨 𝑽𝑰𝑬𝑰𝑹𝑨,https://www.tiktok.com/@enaldinho/video/7063863472387362054,2022-02-12 16:38:00,57
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7063585197039602949,1644619089,173800,458,1418,5600000,1142,Quem aí aceita um pedaço? 😂🍕,https://www.tiktok.com/@enaldinho/video/7063585197039602949,2022-02-11 22:38:09,24
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7063111859976686854,1644508882,78700,94,162,1400000,314,Não repita isso em casa ⚠️ | @_luizamonteiroo,https://www.tiktok.com/@enaldinho/video/7063111859976686854,2022-02-10 16:01:22,52
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7062761411872607494,1644427286,126700,204,220,2500000,901,Quero ver vcs fazendo esse desafio 😛 @_luizamonteiroo @bielvaladares @nicolasgommes,https://www.tiktok.com/@enaldinho/video/7062761411872607494,2022-02-09 17:21:26,33
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7062446295344008453,1644353917,29400,126,317,559300,296,Você teria coragem de comer isso?,https://www.tiktok.com/@enaldinho/video/7062446295344008453,2022-02-08 20:58:37,46
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7062087618804190469,1644270407,48700,197,146,1700000,419,O desafio do plástico filme mais LOUCO que já fiz! 😂 @nicolasgommes @bielvaladares,https://www.tiktok.com/@enaldinho/video/7062087618804190469,2022-02-07 21:46:47,41
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7061734975107828997,1644188301,21500,60,150,290400,144,Molhei todas as pautas da Elo!! Foi mal @vishtigs 😂😂💦,https://www.tiktok.com/@enaldinho/video/7061734975107828997,2022-02-06 22:58:21,37
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7061593013457259781,1644155247,53500,65,156,921500,250,Vai ter volta @bielvaladares 😂🥤,https://www.tiktok.com/@enaldinho/video/7061593013457259781,2022-02-06 13:47:27,42
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7060974364509949189,1644011207,14400,40,109,170000,133,O palhaço da trollagem entrou em cena novamente 😂🤡 @_luizamonteiroo @vishtigs,https://www.tiktok.com/@enaldinho/video/7060974364509949189,2022-02-04 21:46:47,34
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7060604449240255750,1643925079,36600,74,120,641400,223,Vc escolheria o prêmio ou a caixa misteriosa? 👀 @annaclarasr_ @jadesales_,https://www.tiktok.com/@enaldinho/video/7060604449240255750,2022-02-03 21:51:19,58
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7059739491262647557,1643723691,75800,135,168,2100000,416,Criamos um desafio que acabou em omelete!! 😂🥚 @jadesales_,https://www.tiktok.com/@enaldinho/video/7059739491262647557,2022-02-01 13:54:51,47
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7059500992122850565,1643668161,19300,19,72,208700,119,Vcs gostam de desafios assim? 😬😬 @annaclarasr_ @jadesales_ @lvieiralari,https://www.tiktok.com/@enaldinho/video/7059500992122850565,2022-01-31 22:29:21,56
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7059144156177779973,1643585078,22300,69,99,592800,147,Desafio do paliteiro!! Vc acha que venceria? 😂 @jadesales_,https://www.tiktok.com/@enaldinho/video/7059144156177779973,2022-01-30 23:24:38,43
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7058730638291062022,1643488798,1400000,2405,3691,23000000,14200,O desafio do plástico filme mais nojento 😂😂 @annaclarasr_ @jadesales_ @_luizamonteiroo @vishtigs,https://www.tiktok.com/@enaldinho/video/7058730638291062022,2022-01-29 20:39:58,41
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7058378899289378054,1643406903,51800,166,156,1200000,400,Marque seu amigo pra ele ver esse desafio!! 👇 @𝑳𝑨𝑹𝑰𝑺𝑺𝑨 𝑽𝑰𝑬𝑰𝑹𝑨,https://www.tiktok.com/@enaldinho/video/7058378899289378054,2022-01-28 21:55:03,36
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7057982806705573125,1643314680,17900,106,72,530400,226,Quero ver vcs jogando esse meu jogo “Balança mas não cai”! Postem e me marquem!! 🤩 / @vishtigs,https://www.tiktok.com/@enaldinho/video/7057982806705573125,2022-01-27 20:18:00,57
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7057213283849358598,1643135512,24000,46,205,240000,224,Você conseguiria resolver esse desafio? 😂💸 @annaclarasr_,https://www.tiktok.com/@enaldinho/video/7057213283849358598,2022-01-25 18:31:52,56
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7056860968692829445,1643053482,22900,71,129,255200,194,Pra ficar mais esperto @guicavalieri1 😂😂❤️,https://www.tiktok.com/@enaldinho/video/7056860968692829445,2022-01-24 19:44:42,49
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7056537444056976646,1642978156,24000,32,128,273800,123,Quem ficou mais rico nesse desafio? 😂😂 @jadesales_ @vishtigs,https://www.tiktok.com/@enaldinho/video/7056537444056976646,2022-01-23 22:49:16,51
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7056175562385083653,1642893899,30100,36,85,358400,160,Marque aqui aquele amigo que vai fazer esse desafio com vc 🥛😂 @guicavalieri1 @vishtigs,https://www.tiktok.com/@enaldinho/video/7056175562385083653,2022-01-22 23:24:59,53
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7055693918805003526,1642781757,21400,70,6721,229400,102,Deixe aqui nos comentários!! 👇👇,https://www.tiktok.com/@enaldinho/video/7055693918805003526,2022-01-21 16:15:57,53
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7055066028291771654,1642635566,37100,85,781,415400,393,Seu último emoji é a sua reação assistindo esse vídeo 👀,https://www.tiktok.com/@enaldinho/video/7055066028291771654,2022-01-19 23:39:26,57
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7054652846096026885,1642539364,14600,31,162,194300,78,Ficou parecido? 😂😂😂,https://www.tiktok.com/@enaldinho/video/7054652846096026885,2022-01-18 20:56:04,6
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7054291481149902086,1642455227,44700,314,288,599300,615,Saiu um vídeo com mais trollagens com os integrantes da @eloteamoficial 😂😂🥚 @brennermariano,https://www.tiktok.com/@enaldinho/video/7054291481149902086,2022-01-17 21:33:47,46
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7053950735439990022,1642375891,62300,107,448,621500,449,Te amo @annaclarasr_ 😂😂❤️,https://www.tiktok.com/@enaldinho/video/7053950735439990022,2022-01-16 23:31:31,52
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7053449428232932613,1642259172,36000,57,121,552900,118,E esse desafio?? 😂😂 @vishtigs,https://www.tiktok.com/@enaldinho/video/7053449428232932613,2022-01-15 15:06:12,23
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7052749506768571653,1642096208,16700,24,71,187300,70,Quem faturou mais? 🤑💸 @jadesales_ @brennermariano,https://www.tiktok.com/@enaldinho/video/7052749506768571653,2022-01-13 17:50:08,52
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7052337375028071686,1642000251,16300,42,75,180300,107,Desafio do reflexo! Vc conseguiria? 😬,https://www.tiktok.com/@enaldinho/video/7052337375028071686,2022-01-12 15:10:51,57
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7052073824656919814,1641938889,29900,79,105,609700,172,Quem quer brincar com essa roleta? 😂😂 @nicolasgommes,https://www.tiktok.com/@enaldinho/video/7052073824656919814,2022-01-11 22:08:09,45
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7051614787515452678,1641832011,30400,120,182,434200,424,Mágica do anel que anda pra trás 😮💍,https://www.tiktok.com/@enaldinho/video/7051614787515452678,2022-01-10 16:26:51,32
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7051343695248936197,1641768892,64000,576,835,816200,877,Vcs sabiam disso? 👀😮,https://www.tiktok.com/@enaldinho/video/7051343695248936197,2022-01-09 22:54:52,57
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7050974206317612294,1641682864,14200,78,214,168300,130,Experiência de amassar a garrafa sem usar as mãos 😮,https://www.tiktok.com/@enaldinho/video/7050974206317612294,2022-01-08 23:01:04,57
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7050243761045081349,1641512794,275900,579,888,4800000,2467,"Por pouco hein, Amendoim! 😂🥜",https://www.tiktok.com/@enaldinho/video/7050243761045081349,2022-01-06 23:46:34,43
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7049032568309599493,1641230791,71000,466,469,1500000,969,Pegaram essa mágica? 👀🃏,https://www.tiktok.com/@enaldinho/video/7049032568309599493,2022-01-03 17:26:31,58
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7048051375166541062,1641002339,17900,64,265,203500,152,Retrospectiva de 2021 ❤️,https://www.tiktok.com/@enaldinho/video/7048051375166541062,2022-01-01 01:58:59,24
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7047609695233658117,1640899502,183300,714,1285,2700000,4284,"Como chegar na crush! Confia, nunca falha! @annaclarasr_",https://www.tiktok.com/@enaldinho/video/7047609695233658117,2021-12-30 21:25:02,46
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7047518183137250566,1640878196,79700,381,426,1200000,836,Ela é uma feia né 😂 @annaclarasr_,https://www.tiktok.com/@enaldinho/video/7047518183137250566,2021-12-30 15:29:56,23
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7047269392853372165,1640820270,180500,428,374,2000000,1761,Me senti o homem de ferro voando! 😂😂,https://www.tiktok.com/@enaldinho/video/7047269392853372165,2021-12-29 23:24:30,61
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7047172397757172998,1640797686,22600,149,170,267200,252,Vc sabia desse? 😆 Marque seus amigos nos comentários 👇,https://www.tiktok.com/@enaldinho/video/7047172397757172998,2021-12-29 17:08:06,24
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7046916128756583686,1640738019,36100,44,5324,382400,144,Deixe nos comentários 👀👇 @brennermariano @jadesales_,https://www.tiktok.com/@enaldinho/video/7046916128756583686,2021-12-29 00:33:39,46
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7046525346736246021,1640647033,104400,130,199,1700000,354,Quem teve mais vantagem ali? 😂😂 @annaclarasr_ @bielvaladares @vishtigs,https://www.tiktok.com/@enaldinho/video/7046525346736246021,2021-12-27 23:17:13,32
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7046140062920232198,1640557327,14400,77,125,175900,124,"Eu amo fazer essas trollagens hahahaha, vcs querem mais? 😂🥚 @vishtigs",https://www.tiktok.com/@enaldinho/video/7046140062920232198,2021-12-26 22:22:07,24
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7046017452043554054,1640528780,23700,100,133,311200,154,Oq acharam da minha árvore de natal de batatas fritas? 😂,https://www.tiktok.com/@enaldinho/video/7046017452043554054,2021-12-26 14:26:20,56
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7045032025744608517,1640299342,35200,84,88,468200,254,Façam com os amigos de vocês também 😂💦 @bielvaladares,https://www.tiktok.com/@enaldinho/video/7045032025744608517,2021-12-23 22:42:22,52
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7044661963355360517,1640213180,45600,42,118,492800,158,Quem levou mais? 🤑💸 @jadesales_ @brennermariano,https://www.tiktok.com/@enaldinho/video/7044661963355360517,2021-12-22 22:46:20,40
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7044153068971101445,1640094694,37500,61,284,630500,293,Jogo da velha de um jeito mais legal! Quem curtiu? 🤪 @jadesales_,https://www.tiktok.com/@enaldinho/video/7044153068971101445,2021-12-21 13:51:34,56
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7043424018371857669,1639924949,109300,299,447,2200000,802,Vc já viu essa experiência feita de baixo d’água?,https://www.tiktok.com/@enaldinho/video/7043424018371857669,2021-12-19 14:42:29,34
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7043174681033051398,1639866895,34500,35,137,461100,201,Você teria coragem? 😬 @jadesales_,https://www.tiktok.com/@enaldinho/video/7043174681033051398,2021-12-18 22:34:55,53
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7042799414800305413,1639779522,31900,63,205,346600,200,100 camdas de corretivo na mão! Quem aí era dessa época do canal? 😂,https://www.tiktok.com/@enaldinho/video/7042799414800305413,2021-12-17 22:18:42,58
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7042395689678064902,1639685522,46900,117,450,578000,319,Vc conseguiu desvendar esse truque? 👀 / @brennermariano,https://www.tiktok.com/@enaldinho/video/7042395689678064902,2021-12-16 20:12:02,40
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7042078764079058182,1639611733,18700,31,81,219900,92,Quem conseguiria soprar tudo? 😂🕯 @_luizamonteiroo,https://www.tiktok.com/@enaldinho/video/7042078764079058182,2021-12-15 23:42:13,39
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7041935190863727878,1639578304,28500,66,417,304100,128,Marque nos comentários um amigo que precisa ver esse truque 🤫👇,https://www.tiktok.com/@enaldinho/video/7041935190863727878,2021-12-15 14:25:04,25
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7041572750829407494,1639493917,63200,240,175,1100000,637,Duvido vc somar sem errar também kkkk 😂 @nicolasgommes,https://www.tiktok.com/@enaldinho/video/7041572750829407494,2021-12-14 14:58:37,41
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7041196745799322885,1639406375,35500,73,115,457500,180,O final é surpreendente 😂😂 @bielvaladares,https://www.tiktok.com/@enaldinho/video/7041196745799322885,2021-12-13 14:39:35,35
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7040494410252963078,1639242846,126000,349,141000,1800000,426,"E aí, em qual copo está o ovo? 👀 Deixe o número nos comentários 🥚",https://www.tiktok.com/@enaldinho/video/7040494410252963078,2021-12-11 17:14:06,39
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7040197740692851974,1639173772,36100,133,293,476700,350,Conseguiram pegar esse truque? 😂💸 @_luizamonteiroo,https://www.tiktok.com/@enaldinho/video/7040197740692851974,2021-12-10 22:02:52,34
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7039803880070237446,1639082069,27400,48,128,233300,167,Esse foi um dos meus passeios de ontem 😍,https://www.tiktok.com/@enaldinho/video/7039803880070237446,2021-12-09 20:34:29,44
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7039440117613726982,1638997374,64700,152,231,723500,424,Quando vejo meus amigos fazendo dancinha em uma das 7 maravilha do mundo 😂😂😓 @Anna Clara Rios @guicavalieri1,https://www.tiktok.com/@enaldinho/video/7039440117613726982,2021-12-08 21:02:54,11
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7038718683522354438,1638829402,34500,91,215,358600,243,Vcs teriam coragem de ir nesse passeio? 😂 @annaclarasr_,https://www.tiktok.com/@enaldinho/video/7038718683522354438,2021-12-06 22:23:22,58
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7038655711483661574,1638814741,20400,89,125,311000,139,"#publicidade O brinquedo do irmão é sempre mais legal que o nosso, ne? 😂😂 @Sunny Brinquedos #publi",https://www.tiktok.com/@enaldinho/video/7038655711483661574,2021-12-06 18:19:01,44
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7038307396795616517,1638733642,123600,1217,798,3400000,1319,Chegamos em Cancún 😍😍😍 @annaclarasr_,https://www.tiktok.com/@enaldinho/video/7038307396795616517,2021-12-05 19:47:22,8
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7037986984656162053,1638659041,68200,665,263,668500,1126,Vc conhece algum enigma mais difícil que esse??,https://www.tiktok.com/@enaldinho/video/7037986984656162053,2021-12-04 23:04:01,60
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7037198766981647621,1638475520,85400,314,326,2300000,1647,Vc conseguiria desviar das canetinhas?? 😂 @brennermariano,https://www.tiktok.com/@enaldinho/video/7037198766981647621,2021-12-02 20:05:20,48
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7037103657178991878,1638453376,20600,55,85,1300000,103,"#RetrospectivaSpotify, você prometeu!!! Agora quero ver a trend do @spotifybrasil  feita por você, se liga hein. *publi",https://www.tiktok.com/@enaldinho/video/7037103657178991878,2021-12-02 13:56:16,20
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7036092920340024581,1638218044,29200,70,138,340700,162,Esse desafio ficou sério 😂🖋 @annaclarasr_,https://www.tiktok.com/@enaldinho/video/7036092920340024581,2021-11-29 20:34:04,39
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7035625699830467845,1638109261,20200,68,176,312400,196,QUE COISA HORRÍVEL 😂😂 @_luizamonteiroo @nicolasgommes,https://www.tiktok.com/@enaldinho/video/7035625699830467845,2021-11-28 14:21:01,15
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7035274745171971334,1638027548,38500,137,228,486700,292,Vamos brincar de boneca? 😂 @_luizamonteiroo,https://www.tiktok.com/@enaldinho/video/7035274745171971334,2021-11-27 15:39:08,15
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7034890510028311813,1637938087,75300,1109,580,992900,3994,Deixa o like se vc nunca viu essa experiência! 👍❤️,https://www.tiktok.com/@enaldinho/video/7034890510028311813,2021-11-26 14:48:07,44
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7034635086884523269,1637878616,83400,411,1130,1800000,693,Alguém sabe me explicar pq isso acontece?,https://www.tiktok.com/@enaldinho/video/7034635086884523269,2021-11-25 22:16:56,13
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7034503831232777477,1637848056,136600,1649,2503,3000000,1996,Coitada da aranha  @annaclarasr_,https://www.tiktok.com/@enaldinho/video/7034503831232777477,2021-11-25 13:47:36,17
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7033892812269669637,1637705792,81700,309,418,1500000,1433,Vai querer uma revanche depois dessa @annaclarasr_ ? 😂😂,https://www.tiktok.com/@enaldinho/video/7033892812269669637,2021-11-23 22:16:32,47
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7032760007384943878,1637442040,70600,206,650,1400000,385,Obrigado desafio das canetas pela massagem no pé 😂😂😂 @nicolasgommes,https://www.tiktok.com/@enaldinho/video/7032760007384943878,2021-11-20 21:00:40,35
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7032055812923116806,1637278082,309200,592,2691,3900000,2666,Vocês conseguiriam encontrar seu @ no carro? 😂😂😂 @jadesales_,https://www.tiktok.com/@enaldinho/video/7032055812923116806,2021-11-18 23:28:02,56
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7032001188551806214,1637265364,17500,31,74,195700,74,Quem mais canta música errado por ai? Vc pode se tornar fluente no seu artista preferido dentro do @spotifybrasil  #LetrasNoSpotify *publi,https://www.tiktok.com/@enaldinho/video/7032001188551806214,2021-11-18 19:56:04,34
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7031607001390075142,1637173585,53500,165,1894,454300,381,Me siga se você quer que seu @ apareça na minha Porsche 😂🚙,https://www.tiktok.com/@enaldinho/video/7031607001390075142,2021-11-17 18:26:25,31
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7031222187436592389,1637083988,136500,558,1264,3100000,3290,Única dancinha que eu consegui fazer 😂😂 @jadesales_,https://www.tiktok.com/@enaldinho/video/7031222187436592389,2021-11-16 17:33:08,14
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7030817596874312965,1636989788,37400,74,205,376300,177,Marque seu amigo que tmb tá precisando de um chinelo 😂 @penoni,https://www.tiktok.com/@enaldinho/video/7030817596874312965,2021-11-15 15:23:08,55
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7030423466977348869,1636898022,140300,441,1458,2900000,1103,#dueto com @griseldawalshzpo870,https://www.tiktok.com/@enaldinho/video/7030423466977348869,2021-11-14 13:53:42,8
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7030195277231312134,1636844892,167500,1413,3904,3300000,2072,Com vcs tmb é assim? 😂😂,https://www.tiktok.com/@enaldinho/video/7030195277231312134,2021-11-13 23:08:12,13
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7029447485814869253,1636670784,43700,182,188,1300000,320,Se Round 6 fosse no Brasil 😂😂 @jadesales_ @bielvaladares,https://www.tiktok.com/@enaldinho/video/7029447485814869253,2021-11-11 22:46:24,27
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7028975755845504262,1636560951,94800,743,17000,1400000,533,Quem ficar mais tempo sem respirar vence!! Quem ganhou?? 😂😂,https://www.tiktok.com/@enaldinho/video/7028975755845504262,2021-11-10 16:15:51,58
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7028712668412316933,1636499696,28700,77,236,512000,144,Aprendam a dividir o ventilador. 😂😂😂 @jadesales_ @bielvaladares,https://www.tiktok.com/@enaldinho/video/7028712668412316933,2021-11-09 23:14:56,43
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7028605836691819781,1636474822,49000,1651,200,513600,2329,Como fazer um holograma em casa!,https://www.tiktok.com/@enaldinho/video/7028605836691819781,2021-11-09 16:20:22,68
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7028211434429467910,1636382994,319900,760,1000,2900000,3233,Ferro quente vs 100 camadas de isopor,https://www.tiktok.com/@enaldinho/video/7028211434429467910,2021-11-08 14:49:54,58
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7027608547408104709,1636242622,36100,274,299,448000,308,O dente de leão que realiza desejos 😂😂😂 @bielvaladares,https://www.tiktok.com/@enaldinho/video/7027608547408104709,2021-11-06 23:50:22,36
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7027112710714215686,1636127176,160300,374,377,3200000,2198,A @jadesales_ custou a entender hahaha. Vcs entenderam? 👀😂,https://www.tiktok.com/@enaldinho/video/7027112710714215686,2021-11-05 15:46:16,20
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7026862183665421574,1636068846,172300,780,610,3700000,1742,Assustei a @_luizamonteiroo e o @nicolasgommes com sangue falso 😂🩸👻,https://www.tiktok.com/@enaldinho/video/7026862183665421574,2021-11-04 23:34:06,55
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
Instagram | 7 milhões",enaldinho,True,7026376534306999558,1635955772,17600,47,98,245000,98,E esse desafio? 😂😂⚽️ @nicolasgommes @guicavalieri1 @vishtigs,https://www.tiktok.com/@enaldinho/video/7026376534306999558,2021-11-03 16:09:32,42
Enaldinho,152607714882236416,False,"Youtuber | 41 milhões 
